Name,Role,Year,Session_Type
Rt Hon Gillian Keegan MP,Secretary of State for Education,2023,Keynote
Robert Halfon MP,Skills Minister,2023-2024,Keynote
Alex Burghart MP,Skills Minister,2022,Keynote
Peter Mucklow,"Director, ESFA",2023,Panel/Workshop
Jennifer Coupland,"Chief Executive, IfATE",2023-2024,Keynote/Panel
Paul Joyce,"Deputy Director, Ofsted",2023-2024,Ask the Inspector
Chris Jones,"Deputy Director FE and Skills, Ofsted",2022-2023,Workshop
Jane Hickie,"Chief Executive, AELP",Annual,Opening/Closing
Ben Rowland,"Chief Executive, AELP",2021-2022,Various
Simon Ashworth,"Director of Policy, AELP",Regular,Policy sessions
Mark Dawe,"Chief Executive, NCFE",2023,Panel
Kirstie Donnelly MBE,"CEO, City & Guilds",2023,Keynote
David Hughes,"Chief Executive, AoC",2023,Panel
Tom Bewick,"CEO, Federation of Awarding Bodies",2022-2023,Workshop
Stella Mbubaegbu,"Principal, Highbury College",2023,Panel
Alex Miles,"CEO, Corndel",2023,Workshop
Rowan O'Neill,"CEO, Lifetime Training",2022,Workshop
Nick Linford,"Editor, FE Week",Regular,Funding workshops
Ewart Keep,"Professor, Oxford University",2023,Research presentation
Alison Fuller,"Professor, UCL",2022,Research keynote
Neil Carberry,"CEO, REC",2023,Employer panel
Jane Gratton,"Deputy Director, British Chambers",2023,SME workshop
