Name,Type,Specialization,Workshop_Topics,Likely_2025_Zone
SDN (Skills Development Network),Consultancy,Skills and apprenticeship consultancy,"Apprenticeship delivery, Skills planning, Provider improvement","Growth Zone, Partnership Zone"
FE Associates,Consultancy,Further education consultancy,"FE strategy, Quality improvement, Leadership",Teaching & Learning Zone
Strategic Development Network,Consultancy,Skills sector consultancy,"Strategic planning, Business development",Growth Zone
RCU Ltd,Consultancy,Research and consultancy,"Market intelligence, Impact evaluation",Innovation Zone
ACER,Consultancy,Education research,"Research insights, Policy analysis",Policy Zone
Liz Smith Consulting,Independent Consultant,FE and skills policy,"Policy updates, Strategic advice",Policy Zone
Nick Linford Consulting,Independent Consultant,Apprenticeship funding,"Funding rules, Financial planning",Funding Zone
Beej Kaczmarczyk Consulting,Independent Consultant,Education policy,"Policy interpretation, Strategic planning",Policy Zone
Ofsted,Regulator,Inspection and quality,"Inspection framework, Quality requirements, Ask the Inspector sessions",Policy Zone
ESFA,Government Body,Funding and regulation,"Funding rules, Compliance, Contract management",Funding Zone
DfE,Government Department,Education policy,"Policy updates, Strategic priorities","Funding Zone, Policy Zone"
IfATE,Government Body,Apprenticeship standards,"Standards development, EPA, T Levels",Partnership Zone
Ofqual,Regulator,Qualifications regulation,"Qualification regulation, Quality assurance",Teaching & Learning Zone
Learning Curve Group,Training Provider,Adult learning and apprenticeships,"Best practice, Learner engagement",Teaching & Learning Zone
Corndel,Training Provider,Management apprenticeships,"Leadership development, Digital skills",Innovation Zone
Hawk Training,Training Provider,Apprenticeships,"Apprenticeship delivery, Employer engagement",Employer Zone
Lifetime Training,Training Provider,Apprenticeships and skills,"Hospitality skills, Retail training",Employer Zone
Kaplan,Training Provider,Professional education,"Financial services training, Professional apprenticeships",Partnership Zone
BPP,Training Provider,Professional qualifications,"Legal apprenticeships, Accountancy training",Partnership Zone
Mindful Education,Training Provider,Leadership and management,"Management apprenticeships, Leadership skills",Teaching & Learning Zone
GP Strategies,Training Provider,Workforce development,"Technical training, Apprenticeship programmes",Employer Zone
Babcock Training,Training Provider,Technical training,"Engineering apprenticeships, Technical skills",Employer Zone
Remit Group,Training Provider,Employability and skills,"Employability programmes, Skills development",Gen Z Zone
City & Guilds,Awarding Body,Vocational qualifications,"Qualification updates, Assessment methods",Teaching & Learning Zone
Pearson,Awarding Body,Education and assessment,"BTEC updates, Apprenticeship assessment",Teaching & Learning Zone
NOCN,Awarding Body,Qualifications and skills,"Functional skills, ESOL provision",Teaching & Learning Zone
NCFE,Awarding Body,Technical and vocational quals,"Technical qualifications, Assessment",Teaching & Learning Zone
OCR,Awarding Body,General and vocational quals,"Cambridge Technicals, Vocational qualifications",Teaching & Learning Zone
VTCT,Awarding Body,Vocational and technical quals,"Hair and beauty, Sport and active leisure",Teaching & Learning Zone
AAT,Awarding Body,Accounting qualifications,"Accounting apprenticeships, Finance skills",Partnership Zone
Aptem,Technology Provider,Apprenticeship management software,"Digital transformation, ILR management","Technology Zone, Innovation Zone"
OneFile,Technology Provider,E-portfolio and learning management,"Digital portfolios, Remote learning",Technology Zone
Bud,Technology Provider,Digital learning platform,"Digital delivery, Learning analytics",Technology Zone
Smart Apprentices,Technology Provider,Apprenticeship management,"Compliance management, Learner tracking",Technology Zone
Credly,Technology Provider,Digital badging,"Digital credentials, Micro-credentials",Technology Zone
Pellcomp,Technology Provider,Software solutions,"MIS systems, Data management",Innovation Zone
Tribal,Technology Provider,Education software,"Student information systems, Quality management",Technology Zone
Ontrack,Technology Provider,Learning management,"Apprenticeship delivery, Compliance tracking",Technology Zone
UVAC,Membership Organization,HE vocational awards,"Degree apprenticeships, HE-FE collaboration",Partnership Zone
Holex,Membership Organization,Adult and community learning,"Adult education, Community learning","Gen Z Zone, Teaching Zone"
Collab Group,Membership Organization,Leading colleges,"College collaboration, Best practice sharing",Partnership Zone
NATSPEC,Membership Organization,Specialist colleges,"SEND provision, Inclusive learning",Teaching & Learning Zone
NHS Employers,Sector Body,NHS workforce,"Healthcare apprenticeships, NHS skills needs",Employer Zone
CITB,Sector Body,Construction training,"Construction skills, Industry standards",Employer Zone
Energy & Utility Skills,Sector Body,Energy sector skills,"Green skills, Energy apprenticeships",Employer Zone
ECITB,Sector Body,Engineering construction,"Engineering skills, Technical training",Employer Zone
Learning and Work Institute,Research Organization,Employment and skills research,"Labour market insights, Skills policy","Policy Zone, Innovation Zone"
Edge Foundation,Research Organization,Technical education,"VET research, Technical education policy",Policy Zone
NIESR,Research Organization,Economic research,"Skills economics, Labour market analysis",Innovation Zone
Education and Training Foundation,Improvement Body,Workforce development,"CPD, Teaching excellence, Professional standards",Teaching & Learning Zone
Quality Assurance Agency,Quality Body,HE quality,"Quality assurance, HE apprenticeships",Teaching & Learning Zone
Matrix Standard,Quality Body,IAG quality,"Information advice guidance, Quality standards",Gen Z Zone
The Careers & Enterprise Company,Careers Organization,Careers education,"Careers guidance, Employer engagement",Gen Z Zone
Career Ready,Careers Organization,Work experience,"Work readiness, Employer mentoring",Gen Z Zone
CDI,Professional Body,Career development,"Career guidance, Professional development",Gen Z Zone
