name,detail_url,provider_id,ukprn,registered_address,email,telephone,website,achievement_rate,discovered_location
CITY SKILLS LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10065422?location=London&distance=10,10065422,10065422,"Suite 211a, Peel House, London Road, Morden, SM4 5BT",Trainingenquiries@city-skills.com,02038704836,https://city-skills.com/team-leader-supervisor-level-3-2/,61.5% national achievement rate,London
OAKLANDS COLLEGE,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10004835?location=London&distance=10,10004835,10004835,"Oaklands Campus, Hatfield Road, AL4 0JA",apprenticeships@oaklands.ac.uk,01727 737510,https://www.oaklands.ac.uk/study/apprenticeships/,100%,London
CORNDEL LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10061407?location=London&distance=10,10061407,10061407,"80 Old Street, London, EC1V 9AZ",info@corndel.com,020 8102 9040,https://www.corndel.com/course/level-3-diploma-in-management/,61.5% national achievement rate,London
EDEN TRAINING SOLUTIONS LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10027766?location=London&distance=10,10027766,10027766,"Wallace House, 4 Falcon Way, Welwyn Garden City, AL7 1TW",enquiries@eden-ts.com,0800 7563985,https://eden-ts.com,61.5% national achievement rate,London
PIER TECHNOLOGY LTD,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10040417?location=London&distance=10,10040417,10040417,"43 Calthorpe Road, Edgbaston, Birmingham, B15 1TS",info@piertraining.co.uk,01217400429,http://piertraining.co.uk/,61.5% national achievement rate,London
DAVIDSON TRAINING UK LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10001869?location=London&distance=10,10001869,10001869,"Unit 51, Rectory Road, Globe Industrial Estate, Grays, RM17 6ST",lorrainebunyard@davidsontraining.com,01508 493639 / 07951 480169,https://www.davidsontraining.org/_files/ugd/7f7e70_2653cbe4e0f945c5a3f34d8cd84cb54e.pdf,61.5% national achievement rate,London
UNIVERSITY CENTRE QUAYSIDE LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10025197?location=London&distance=10,10025197,10025197,"Ouseburn Building, Albion Row, Newcastle Upon Tyne, NE6 1LL",chris.mccormick@ucq.ac.uk,07383836747,https://ucq.ac.uk/wp-content/uploads/2023/01/The-UCQ-Level-3-Team-Leader-Apprenticeship-Programme-Guide.v.2.2023.pdf,61.5% national achievement rate,London
TRAIN 2 TRAIN LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10033640?location=London&distance=10,10033640,10033640,"Office 22-23, The Rear Walled Garden, The Nostell Estate Yard, Nostell, Wakefield, WF4 1AB",info@train2train.org,01302363136,https://train2train.org/events/level-3-team-leader-supervisor-apprenticeship/,61.5% national achievement rate,London
ACCESS TRAINING LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10009059?location=London&distance=10,10009059,10009059,"Chester Road, Sunderland, NE11 0JL",info@accesstraining.org,01914904646,https://www.accesstraining.org/apprenticeships-for-employers/team-leader-management/,61.5% national achievement rate,London
BAUER RADIO LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10002230?location=London&distance=10,10002230,10002230,"Media House, Peterborough Business Park, Lynch Wood, Peterborough, PE2 6EA",clients@baueracademy.co.uk,01733 468000,http://baueracademy.co.uk/apprenticeships,61.5% national achievement rate,London
METAGEDU APPRENTICESHIPS LTD,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10047122?location=Birmingham&distance=10,10047122,10047122,"Horsenden House, 891 Greenford Road, Greenford, UB6 0HE",enquiries@metagedu.io,0333 004 8178,www.metagedu.io,0%,Birmingham
RHG CONSULT LTD,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10029195?location=Birmingham&distance=10,10029195,10029195,"Harborough Innovation Centre, Airfield Business Park, Wellington Way, Market Harborough, LE16 7WB",info@rhgconsult.co.uk,03456039311,http://www.rhgconsult.co.uk,100%,Birmingham
