organisation,event_name,start_date,end_date,format,location,audience_focus,member_price,non_member_price,status,source,notes
AELP,"Beyond Overall Effectiveness: Time to Decode the Scorecard",2025-11-11,2025-11-11,Online,"Virtual","Quality managers, inspection leads","0","0","Scheduled (booking open)","https://www.aelp.org.uk/events/2025-11-11-aelp-webinar-beyond-overall-effectiveness-time-to-decode-the-scorecard-sponsored-by-onefile/","Free member/non-member webinar sponsored by OneFile."
AELP,"Member Exclusive Webinar: Ofsted Initial Teacher Education Inspections",2025-11-13,2025-11-13,Online,"Virtual","Quality managers, ITE leads","0","Member only","Scheduled (members only)","https://www.aelp.org.uk/events/2025-11-13-aelp-member-exclusive-webinar-ofsted-initial-teacher-education-ite-inspections/","Complimentary to AELP members via MyAELP."
AELP,"Apprenticeship Reforms: What Providers Need to Do Next",2025-11-14,2025-11-14,Online,"Virtual","Funding and compliance leads","0","0","Scheduled (booking open)","https://www.aelp.org.uk/events/2025-11-14-aelp-webinar-apprenticeship-assessment-reforms-what-providers-need-to-do-next-sponsored-by-ncfe/","Free webinar sponsored by NCFE."
AELP,"Digital and Technologies Sector Forum",2025-11-17,2025-11-17,Online,"Virtual","Digital curriculum and quality leads","0","Member only","Scheduled (members only)","https://www.aelp.org.uk/events/2025-11-17-digital-and-technologies-sector-forum/","Member-exclusive sector forum."
AELP,"Devolution Special Interest Group",2025-11-19,2025-11-19,Online,"Virtual","Leaders engaging with devolved authorities","0","Member only","Scheduled (members only)","https://www.aelp.org.uk/events/2025-11-19-devolution-special-interest-group/","Member-exclusive SIG facilitated by AELP."
AELP,"Safeguarding and Prevent Community of Practice",2025-11-19,2025-11-19,Online,"Virtual","Designated safeguarding officers","0","Member only","Scheduled (members only)","https://www.aelp.org.uk/events/2025-11-19-safeguarding-and-prevent-communities-of-practice-cop-designated-safeguarding-officers-dsos/","Pilot CoP session for safeguarding leads."
AELP,"Member Exclusive Webinar: Keeping in Touch with Ofsted",2025-11-19,2025-11-19,Online,"Virtual","Quality and compliance managers","0","Member only","Scheduled (members only)","https://www.aelp.org.uk/events/2025-11-19-aelp-member-exclusive-webinar-aelp-keeping-in-touch-with-ofsted/","Monthly Ofsted update call."
AELP,"Creative Industries Sector Forum",2025-11-20,2025-11-20,Online,"Virtual","Creative industries providers","0","Member only","Scheduled (members only)","https://www.aelp.org.uk/events/2025-11-20-creative-industries-sector-forum/","Member-exclusive sector forum."
AELP,"Apprenticeship Assessment Summit 2026",2026-01-15,2026-01-15,"In person","Burlington Hotel, Birmingham","EPAOs, senior leaders, quality managers","TBC","TBC","Announced – pricing to be confirmed","https://www.aelp.org.uk/events/2026-01-15-aelp-apprenticeship-assessment-summit-2026/","Booking via aelpevents.org.uk; ticket rates not yet published."
Yorkshire Learning Providers,"Health and Social Care Forum",2025-12-03,2025-12-03,Online,"Virtual","Curriculum and quality leads in H&SC","0","0","Scheduled (members only)","https://www.eventbrite.co.uk/e/health-and-social-care-forum-tickets-1144195452399","Free member forum; £50+VAT no-show fee."
Yorkshire Learning Providers,"Quality Forum",2025-12-08,2025-12-08,Online,"Virtual","Quality directors, compliance managers","0","0","Scheduled (members only)","https://www.wylp.org.uk/events/","Free member forum; next date 08.12.25."
Yorkshire Learning Providers,"End of Year Roundup Conference",2025-12-03,2025-12-03,"In person","Holy Trinity Boar Lane, Leeds","Leaders, quality and funding managers","0","Members only","Scheduled (members only)","https://www.eventbrite.co.uk/e/end-of-year-roundup-conference-yorkshire-learning-providers-tickets-1145410657109","Members-only celebration event; festive networking."
