organisation,region,coverage,membership_fees,membership_types_benefits,data_status,source
AELP,National,England,"Tiered by contracted learners: £730 (<100) up to £12,520 (5000+); employer tiers £730-£1,550; VAT extra.","Independent training providers, colleges, employer providers; lobbying, policy webinars, sector forums, compliance resources.","Confirmed published rates (2025).","https://www.aelp.org.uk/membership/full-membership/"
Association of Colleges,National,England,"Fee not publicly listed; historical guidance ~£25k-£30k per college depending on turnover; confirmation required.","General FE, sixth-form, specialist colleges; national lobbying, AoC helpline, regional networks, member briefings, event discounts.","Needs confirmation (request via membership@aoc.co.uk).","https://www.aoc.co.uk/about-us/membership"
Collab Group,National,UK,"Invitation-based consortium; fees negotiated bilaterally; not publicly disclosed.","Large college groups; collaborative bids, strategic lobbying, employer brokerage.","Needs confirmation (contact info@collabgroup.co.uk).","https://www.collabgroup.co.uk/"
HOLEX,National,England,"Membership quoted on enquiry; previously £1,450 standard, £950 associate (2023).","Adult community learning services; policy lobbying, QA support, national voice.","Needs confirmation (contact admin@holex.org.uk).","https://holex.org.uk/membership/"
Natspec,National,UK,"2024 guide: £1,400 core membership plus optional regional fees; updated rates pending.","Specialist FE colleges for SEND; policy lobbying, benchmarking, specialist CPD.","Needs confirmation (membership@natspec.org.uk).","https://natspec.org.uk/become-a-member/"
Independent Training Provider Association,National,England,"£395 (ITPs under 300 staff); £595 (large providers); £195 consultants; VAT extra.","Policy briefings, compliance forums, resource hub, discounted CPD.","Confirmed launch rates (2024).","https://www.itpa.org.uk/membership"
Networks of Providers Community of Practice,National,England,"Included via membership of regional network; no separate fee.","Regional networks collaborate on quality improvement and research.","Confirmed (coordinated by WYLP).","https://www.wylp.org.uk/networks-of-providers-community-of-practice/"
ETF Centres for Excellence in SEND,National,England,"DfE-funded participation; no membership fee.","Three lead colleges provide inclusive practice CoPs, resources, peer support.","Confirmed (grant-funded offer).","https://www.et-foundation.co.uk/supporting/special-educational-needs-and-disabilities/"
North East Learning Providers,North East,Tyne & Wear, County Durham, Northumberland,"£1,000 provider membership; £600 associate (2023 AGM).","ITPs, FE, HE; monthly briefings, conference, Ofsted support, tender intel.","Needs 2025 confirmation (admin@nelp.co.uk).","https://www.nelp.co.uk/"
Tees Valley Learning Provider Network,North East,Tees Valley,"£650 provider membership; £400 associate (2024 brochure).","40+ members; skills forums, policy updates, Multiply support, events.","Needs 2025 confirmation (info@tvlpn.co.uk).","https://tvlpn.co.uk/"
Northumberland Learning Providers Network,North East,Northumberland,"Operates as local authority-funded forum; no subscription currently advertised.","Colleges and training providers; quarterly meetings aligned to LSIP.","Information inferred (contact skills@northumberland.gov.uk).","https://www.northumberland.gov.uk/business/"
Northern Skills Network,North,North of England (umbrella),"Membership via constituent regional networks; no standalone fee.","Umbrella voice for nine northern networks; research, lobbying, joint events.","Confirmed.","https://www.northernskillsnetwork.co.uk/"
Greater Manchester Learning Provider Network,North West,Greater Manchester,"Historic bands £500-£2,500 (turnover-based); current rates available on request.","Policy voice, Multiply PSP, compliance support, jobs board, events.","Needs confirmation (chloe.r@gmlpn.co.uk).","https://gmlpn.co.uk/membership/"
Greater Merseyside Learning Providers Federation,North West,Liverpool City Region,"2022 rate card: £750 standard, £1,250 corporate partner.","Policy updates, LSIP engagement, compliance clinics, ASK delivery.","Needs confirmation (info@gmlpf.net).","https://www.gmlpf.net/"
