Name,Type,Description,Website,Location,Focus
AoC East of England,Regional Association,Regional branch of the Association of Colleges representing FE colleges across the East of England including Essex,https://www.aoc.co.uk/about-us/aoc-regions,East of England (including Essex),Advocacy; Support; Representation
South Essex College Group,College Group,Major FE college group serving South Essex,https://www.southessex.ac.uk/,Basildon; Southend-on-Sea; Thurrock,General FE; Vocational Training; Apprenticeships; Higher Education
Colchester Institute,FE and HE College,Large FE and HE college in North Essex,https://www.colchester.ac.uk/,Colchester,General FE; Vocational Training; Apprenticeships; Higher Education
Harlow College,FE College,FE college in West Essex,https://www.harlow-college.ac.uk/,Harlow,General FE; Vocational Training; Apprenticeships
Chelmsford College,FE College,FE college in Central Essex,https://www.chelmsford.ac.uk/,Chelmsford,General FE; Vocational Training; Apprenticeships
Braintree College,FE College,FE college in North Essex part of Harlow College Group,https://www.harlow-college.ac.uk/,Braintree,General FE; Vocational Training
Essex Training Providers Network,Independent Training Provider Network,Network of independent training providers in Essex. Part of AELP's regional network structure.,https://www.aelp.org.uk/membership/regional-network-membership/,Essex-wide,Apprenticeships; Adult Education; Skills Training
Essex Apprenticeship Provider Network,Apprenticeship Network,Network of apprenticeship training providers in Essex. Part of AELP's regional network structure.,https://www.aelp.org.uk/membership/regional-network-membership/,Essex-wide,Apprenticeships; Quality Assurance
Essex Adult Learning Providers Network,Adult Education Network,Network of adult education providers in Essex. May operate through local authority networks or Learning and Work Institute.,https://www.learningandwork.org.uk,Essex-wide,Adult Learning; Community Education
Essex Skills and Employment Partnership,Partnership Network,Partnership between Essex County Council colleges and training providers,https://www.essex.gov.uk/skills-and-training,Essex-wide,Skills development; Employment support; Training coordination
Essex Further Education Consortium,College Consortium,Collaborative network of FE colleges in Essex,,Essex-wide,Collaboration; Best practice sharing; Joint initiatives
Essex County Council - Skills and Training,Local Authority,Local authority support for skills and training in Essex,https://www.essex.gov.uk/skills-and-training,Essex-wide,Strategic oversight; Funding; Coordination
Education and Skills Funding Agency (ESFA),Government Agency,Government agency funding FE providers,https://www.gov.uk/government/organisations/education-and-skills-funding-agency,National,Funding; Regulation
Ofsted,Inspectorate,Inspectorate for FE providers,https://www.gov.uk/government/organisations/ofsted,National,Quality assurance; Inspection
