Name,Type,Description,Website,Colleges/Institutions
Capital City College Group,College Group,"One of London's largest further education groups, operating multiple colleges",https://www.capitalccg.ac.uk,"City and Islington College, Westminster Kingsway College, The College of Haringey, Enfield and North East London"
London South East Colleges,College Group,Large further education group serving South East London,https://www.lsec.ac.uk,"Bromley College, Bexley College, Greenwich Community College"
New City College,College Group,Further education group operating across East London,https://www.ncclondon.ac.uk,"Hackney Community College, Redbridge College, Epping Forest College, Havering College, Tower Hamlets College"
West Thames College,College,Further education college in West London,https://www.west-thames.ac.uk,
Richmond and Hillcroft Adult Community College,College,Adult and community education provider,https://www.rhacc.ac.uk,
Waltham Forest College,College,Further education college in North East London,https://www.waltham.ac.uk,
Lambeth College,College,Further education college in South London,https://www.lambethcollege.ac.uk,
Croydon College,College,Further education college in South London,https://www.croydon.ac.uk,
Kensington and Chelsea College,College,Further education college in West London,https://www.kcc.ac.uk,
Hammersmith and West London College,College,Further education college in West London,https://www.wlc.ac.uk,
Barnet and Southgate College,College Group,Further education group in North London,https://www.barnetsouthgate.ac.uk,
City of Westminster College,College,Further education college in Central London,https://www.cwc.ac.uk,
Hackney Community College,College,Further education college in East London (part of New City College),https://www.ncclondon.ac.uk,
Lewisham Southwark College,College Group,Further education group in South London,https://www.lscollege.ac.uk,
"Ealing, Hammersmith and West London College",College Group,Further education group in West London,https://www.wlc.ac.uk,
London Skills for Growth,Training Provider Network,Network of training providers supporting skills development in London,https://www.londonskillsforgrowth.co.uk,
Association of Colleges (AoC) London Region,Network/Association,Regional network representing further education colleges in London,https://www.aoc.co.uk,
Greater London Authority Skills for Londoners,Network/Partnership,Strategic partnership for skills and training in London,https://www.london.gov.uk/what-we-do/skills-and-employment,
London Learning Consortium,Training Provider Network,Consortium of training providers in London,https://www.londonlearningconsortium.co.uk,
London Apprenticeship Ambassador Network,Network,Network promoting apprenticeships in London,https://www.gov.uk/government/groups/london-apprenticeship-ambassador-network,
London Providers Network,Training Provider Network,Network of independent training providers in London,,
Skills for Londoners Business Partnership,Partnership Network,"Partnership between GLA, colleges, and training providers",https://www.london.gov.uk/what-we-do/skills-and-employment/skills-londoners,
