Name,Category,Address,Rating,Latest report,URN
Activate Community and Education Services,Independent Specialist College,"The Bracknell Centre, Bracknell Avenue, Southdene, Kirby, Merseyside, L32 9PW",Outstanding,26 July 2024,59144
Chadsgrove Educational Trust Specialist College,Independent Specialist College,"Meadow Road, Catshill, Bromsgrove, Worcestershire, B61 0JL",Outstanding,17 May 2022,144729
Condover College Limited,Independent Specialist College,"Grafton Centre, Grafton, Montford Bridge, Shrewsbury, Shropshire, SY4 1HF",Outstanding,21 March 2024,131857
Creating Tomorrow College,Independent Specialist College,"Iron Mountain, Floor 2 Unit 2, Symmetry Way, Symmetry Park, Kettering, Northamptonshire, NN14 1FQ",Outstanding,15 July 2025,149250
Great Oaks Charitable Trust T/A Great Oaks College,Independent Specialist College,"Gresham Road, Hounslow, Hounslow, Middlesex, TW3 4BX",Outstanding,19 June 2023,147303
Oakwood Specialist College,Independent Specialist College,"7/9 Oak Park Villas, 7/9 Oak Park Villas, Dawlish, Devon, EX7 0DE",Outstanding,16 May 2025,131947
Orchard Hill College,Independent Specialist College,"Copthall House, 9 the Pavement, Grove Road, Sutton, SM1 1DA",Outstanding,06 May 2025,131948
Orpheus Centre,Independent Specialist College,"North Park Lane, Godstone, Surrey, RH9 8ND",Outstanding,11 June 2024,131950
Portland College,Independent Specialist College,"Nottingham Road, Portland College, Mansfield, Nottinghamshire, NG18 4TJ",Outstanding,16 March 2023,131959
Royal College Manchester (Seashell Trust),Independent Specialist College,"Stanley Road, Cheadle Hulme, Cheadle, Cheshire, SK8 6RQ",Outstanding,11 December 2024,139218
Skills for Independence and Employability Ltd,Independent Specialist College,"Cage Green Road, Tonbridge, Kent, TN10 4PT",Outstanding,30 June 2023,146546
St Piers College (Young Epilepsy),Independent Specialist College,"St Piers Lane, Lingfield, Surrey, RH7 6PW",Outstanding,15 March 2024,141241
The David Lewis Centre,Independent Specialist College,"Mill Lane, Warford, Mill Lane, Alderley Edge, Cheshire, SK9 7UD",Outstanding,27 April 2023,131860
The Hive College,Independent Specialist College,"Perry Common Road, Birmingham, West Midlands, B23 7AT",Outstanding,15 December 2023,142915
Treloar College,Independent Specialist College,"Powell Drive, Holybourne, Alton, Hants, Hampshire, GU34 4GL",Outstanding,07 March 2023,132980
Woodpecker Court,Independent Specialist College,"Woodpecker Court, 45 Wigmore Lane, Eythorne, Dover, Kent, CT15 4BF",Outstanding,15 March 2024,147958
