Name,Category,Address,Rating,Latest report,URN
Abbeygate Sixth Form College,16-19 academy,"Beetons Way, Bury St Edmunds, Suffolk, IP33 3YU",Outstanding,30 June 2023,147063
Activate Community and Education Services,Independent Specialist College,"The Bracknell Centre, Bracknell Avenue, Southdene, Kirby, Merseyside, L32 9PW",Outstanding,26 July 2024,59144
AJ Bell Business Solutions Limited,Employer Provider,"4 Exchange Quay, Salford Quays, Manchester, M5 3EE",Outstanding,07 September 2023,2654156
Althaus Digital Limited,Independent Learning Provider,"Commerce House, 2 Victoria Way, Derby, DE24 8AN",Outstanding,21 August 2023,2654165
Anglo American Technical and Sustainability Services Ltd,Employer Provider,"Resolution House, Lake View, Scarborough, North Yorkshire, YO11 3ZB",Outstanding,16 August 2024,2701026
ANS Academy Limited,Independent Learning Provider,"1 Archway, Manchester, M15 5QJ",Outstanding,06 October 2021,2526604
Antrec Limited,Independent Learning Provider,"Dunelm Rise, Durham Gate, Spennymoor, Durham, DL16 6FS",Outstanding,10 October 2022,1270907
Apprentify Limited,Independent Learning Provider,"25 Water Lane, Wilmslow, Cheshire, SK9 5AR",Outstanding,02 November 2022,2554100
Arts Educational School,Dance and Drama Schools and Colleges,"Cone Ripman House, 14 Bath Road, London, W4 1LY",Outstanding,22 January 2024,50527
Arts University Bournemouth,Other further education and skills,"Wallisdown Road, Poole, Dorset, BH12 5HH",Outstanding,19 June 2023,133793
Assist Knowledge Development Limited,Independent Learning Provider,"The Sanderum Centre, 30A Upper High Street, Thame, Oxfordshire, OX9 3EX",Outstanding,13 January 2023,1278647
Axia Solutions Limited,Independent Learning Provider,"Unit 1, Riverside, 2 Campbell Road, Stoke-On-Trent, ST4 4RJ",Outstanding,20 August 2025,50579
BAE Systems PLC,Employer Provider,"BAE Systems, Channel Way, Preston, PR2 2YA",Outstanding,13 December 2021,50592
Baltic Training Services Limited,Independent Learning Provider,"Pioneer House, Pioneer Court, Darlington, DL1 4WD",Outstanding,13 September 2023,58229
Barnsley Metropolitan Borough Council,Adult and Community Learning,"Wellington House, 2nd Floor, Market Street, Barnsley, South Yorkshire, S70 1WA",Outstanding,21 January 2025,50609
Barton Peveril Sixth Form College,Sixth Form College,"Chestnut Avenue, Eastleigh, Hampshire, SO50 5ZA",Outstanding,19 January 2023,130701
Bath Spa University,Other further education and skills,"Newton Park, Newton St Loe, Bath, Somerset, BA2 9BN",Outstanding,12 September 2025,133790
Beauchamp City Sixth Form,16-19 academy,"1 South Albion Street, Leicester, LE1 6JL",Outstanding,09 February 2024,147837
Bexhill College,Sixth Form College,"Penland Road, Bexhill-on-Sea, East Sussex, TN40 2JG",Outstanding,12 March 2024,130670
Big Creative Academy,16-19 academy,"38, Clifton Avenue, Walthamstow, London, E17 6HL",Outstanding,14 March 2024,141030
Bishop Fleming LLP,Employer Provider,"2nd Floor Stratus House, Emperor Way, Exeter Business Park, Exeter, EX1 3QS",Outstanding,22 August 2024,2643281
Blue Lion Training Academy Limited,Independent Learning Provider,"Ground Floor, 13 Mallard Way, Pride Park, Derby, DE24 8GX",Outstanding,17 July 2023,2626866
