name,detail_url,ukprn,training_options,employer_reviews,apprentice_reviews,achievement_rate
HARTLEPOOL COLLEGE OF FURTHER EDUCATION,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10002917?distance=10,10002917,Day releaseOne day a week at the provider's location.,Good(1 employer review),Good(19 apprentice reviews),100% (out of 10 apprentices)
WIGAN AND LEIGH COLLEGE,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10007500?distance=10,10007500,At apprentice's workplaceTraining at the employer's location.,Good(3 employer reviews),Good(26 apprentice reviews),100% (out of 10 apprentices)
EAST SUSSEX COUNTY COUNCIL,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10002131?distance=10,10002131,At apprentice's workplaceTraining at the employer's location.,No employer reviews,No apprentice reviews,100% (out of 10 apprentices)
DERWENTSIDE COLLEGE,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10001934?distance=10,10001934,At apprentice's workplaceTraining at the employer's location.,Excellent(5 employer reviews),Good(47 apprentice reviews),93.8% (out of 20 apprentices)
PMA LTD,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10061640?distance=10,10061640,At apprentice's workplaceTraining at the employer's location.,No employer reviews,Good(12 apprentice reviews),92.9% (out of 10 apprentices)
THE EDUCATION TRAINING COLLECTIVE,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10006341?distance=10,10006341,"At apprentice's workplaceTraining at the employer's location., Day releaseOne day a week at the provider's location.",Excellent(1 employer review),Good(18 apprentice reviews),90% (out of 10 apprentices)
UNIVERSITY OF EXETER,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10007792?distance=10,10007792,"At apprentice's workplaceTraining at the employer's location., Block releaseBlocks of a week or more at the provider's location.",Excellent(4 employer reviews),Good(81 apprentice reviews),89.7% (out of 30 apprentices)
ADALTA DEVELOPMENT LTD,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10043865?distance=10,10043865,At apprentice's workplaceTraining at the employer's location.,No employer reviews,No apprentice reviews,87.5% (out of 20 apprentices)
BLACKPOOL AND THE FYLDE COLLEGE,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10000754?distance=10,10000754,"At apprentice's workplaceTraining at the employer's location., Block releaseBlocks of a week or more at the provider's location., Day releaseOne day a week at the provider's location.",Excellent(2 employer reviews),Good(35 apprentice reviews),85.7% (out of 40 apprentices)
BAUER RADIO LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10002230?distance=10,10002230,"At apprentice's workplaceTraining at the employer's location., Block release at multiple locationsBlocks of a week or more at the provider's location., Day release at multiple locationsOne day a week at the provider's location.",Excellent(3 employer reviews),Good(16 apprentice reviews),85.7% (out of 10 apprentices)
BPIF TRAINING LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10034212?distance=10,10034212,"At apprentice's workplaceTraining at the employer's location., Block releaseBlocks of a week or more at the provider's location., Day releaseOne day a week at the provider's location.",Excellent(1 employer review),Good(11 apprentice reviews),85.7% (out of 10 apprentices)
RNN GROUP,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10005534?distance=10,10005534,At apprentice's workplaceTraining at the employer's location.,Excellent(1 employer review),No apprentice reviews,85.7% (out of 10 apprentices)
CALDERDALE COLLEGE,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10001093?distance=10,10001093,Day releaseOne day a week at the provider's location.,Good(3 employer reviews),Good(7 apprentice reviews),85% (out of 20 apprentices)
HAVANT AND SOUTH DOWNS COLLEGE,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10005979?distance=10,10005979,"At apprentice's workplaceTraining at the employer's location., Day releaseOne day a week at the provider's location.",Excellent(2 employer reviews),Good(7 apprentice reviews),84.6% (out of 10 apprentices)
Learn Plus Us,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10028965?distance=10,10028965,At apprentice's workplaceTraining at the employer's location.,Good(1 employer review),Good(8 apprentice reviews),84.6% (out of 10 apprentices)
NATIONAL BUSINESS COLLEGE LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10004499?distance=10,10004499,"At apprentice's workplaceTraining at the employer's location., Day releaseOne day a week at the provider's location.",Excellent(7 employer reviews),Excellent(7 apprentice reviews),83.3% (out of 10 apprentices)
HULL COLLEGE,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10003200?distance=10,10003200,Day releaseOne day a week at the provider's location.,Excellent(1 employer review),Good(13 apprentice reviews),83.3% (out of 10 apprentices)
KINGSTON UPON HULL CITY COUNCIL,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10003198?distance=10,10003198,Day releaseOne day a week at the provider's location.,Good(3 employer reviews),Excellent(7 apprentice reviews),83.3% (out of 10 apprentices)
DAWN HODGE ASSOCIATES LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10022117?distance=10,10022117,At apprentice's workplaceTraining at the employer's location.,Good(1 employer review),Excellent(23 apprentice reviews),83.3% (out of 10 apprentices)
PARTNERSHIP TRAINING LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10036548?distance=10,10036548,At apprentice's workplaceTraining at the employer's location.,No employer reviews,Excellent(37 apprentice reviews),83.3% (out of 10 apprentices)
CRAVEN COLLEGE,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10001743?distance=10,10001743,At apprentice's workplaceTraining at the employer's location.,No employer reviews,Good(5 apprentice reviews),83.3% (out of 10 apprentices)
ACHIEVING FOR CHILDREN COMMUNITY INTEREST COMPANY,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10047071?distance=10,10047071,At apprentice's workplaceTraining at the employer's location.,No employer reviews,No apprentice reviews,83.3% (out of 10 apprentices)
AXIA SOLUTIONS LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10000470?distance=10,10000470,"At apprentice's workplaceTraining at the employer's location., Day releaseOne day a week at the provider's location.",Excellent(1 employer review),Excellent(9 apprentice reviews),81.8% (out of 10 apprentices)
CITY OF SUNDERLAND COLLEGE,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10001475?distance=10,10001475,At apprentice's workplaceTraining at the employer's location.,Excellent(3 employer reviews),Good(27 apprentice reviews),81.8% (out of 10 apprentices)
LINDEN MANAGEMENT (UK) LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10027616?distance=10,10027616,"At apprentice's workplaceTraining at the employer's location., Block releaseBlocks of a week or more at the provider's location., Day releaseOne day a week at the provider's location.",Excellent(2 employer reviews),Excellent(13 apprentice reviews),80% (out of 30 apprentices)
CITY SKILLS LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10065422?distance=10,10065422,"At apprentice's workplaceTraining at the employer's location., Block release at multiple locationsBlocks of a week or more at the provider's location., Day release at multiple locationsOne day a week at the provider's location.",Excellent(17 employer reviews),Excellent(35 apprentice reviews),80% (out of 10 apprentices)
THE TRAFFORD AND STOCKPORT COLLEGE GROUP,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10005998?distance=10,10005998,At apprentice's workplaceTraining at the employer's location.,No employer reviews,Good(14 apprentice reviews),80% (out of 20 apprentices)
CHESTERFIELD COLLEGE,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10001378?distance=10,10001378,At apprentice's workplaceTraining at the employer's location.,Excellent(24 employer reviews),Good(56 apprentice reviews),78.9% (out of 20 apprentices)
MIDDLESBROUGH COLLEGE,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10004344?distance=10,10004344,Day releaseOne day a week at the provider's location.,Good(1 employer review),Good(15 apprentice reviews),78.9% (out of 20 apprentices)
ESSEX COUNTY COUNCIL,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10002327?distance=10,10002327,Day releaseOne day a week at the provider's location.,No employer reviews,Good(11 apprentice reviews),78.6% (out of 10 apprentices)
ASPIRE DEVELOPMENT (UK) LTD,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10054055?distance=10,10054055,At apprentice's workplaceTraining at the employer's location.,No employer reviews,Excellent(7 apprentice reviews),78.3% (out of 20 apprentices)
MILLBROOK MANAGEMENT SERVICES LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10005264?distance=10,10005264,"At apprentice's workplaceTraining at the employer's location., Day release at multiple locationsOne day a week at the provider's location.",No employer reviews,No apprentice reviews,78.3% (out of 20 apprentices)
DUDLEY COLLEGE OF TECHNOLOGY,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10007924?distance=10,10007924,"At apprentice's workplaceTraining at the employer's location., Day releaseOne day a week at the provider's location.",Poor(6 employer reviews),Good(35 apprentice reviews),77.8% (out of 20 apprentices)
DN COLLEGES GROUP,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10004695?distance=10,10004695,Day release at multiple locationsOne day a week at the provider's location.,Excellent(6 employer reviews),Good(20 apprentice reviews),76.9% (out of 10 apprentices)
ACCIPIO LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10058012?distance=10,10058012,"At apprentice's workplaceTraining at the employer's location., Block releaseBlocks of a week or more at the provider's location., Day releaseOne day a week at the provider's location.",Excellent(6 employer reviews),Excellent(15 apprentice reviews),76.6% (out of 50 apprentices)
UNIVERSITY OF LINCOLN,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10007151?distance=10,10007151,Block releaseBlocks of a week or more at the provider's location.,Excellent(1 employer review),Good(47 apprentice reviews),76.3% (out of 40 apprentices)
FUEL LEARNING LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10058111?distance=10,10058111,"At apprentice's workplaceTraining at the employer's location., Day releaseOne day a week at the provider's location.",No employer reviews,Excellent(47 apprentice reviews),76% (out of 150 apprentices)
CORNDEL LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10061407?distance=10,10061407,"At apprentice's workplaceTraining at the employer's location., Block release at multiple locationsBlocks of a week or more at the provider's location., Day release at multiple locationsOne day a week at the provider's location.",Excellent(10 employer reviews),Excellent(326 apprentice reviews),75.3% (out of 1360 apprentices)
