Organization,Region,Type,Priority,Notes
Bedfordshire and Hertfordshire Provider Network,East of England,Regional provider network,Medium,May be coordinated through local authorities
Birmingham and Solihull Provider Network,West Midlands,Regional provider network,High,Major metropolitan area network
Black Country Provider Network,West Midlands,Regional provider network,High,Covers Dudley Sandwell Walsall Wolverhampton
Buckinghamshire Skills Provider Network,South East,Skills provider network,Medium,May be coordinated through Buckinghamshire Business First
Central London Forward Skills Programmes,London,London sub-regional partnership,Medium,May be part of Central London Forward (local authority partnership)
Cheshire and Warrington Learning Provider Network,North West,Regional provider network,Medium,May be part of local skills hub
Cornwall and Isles of Scilly Skills Hub,South West,Skills hub,Medium,See access issues list - URL found but access blocked
Coventry and Warwickshire Provider Network,West Midlands,Regional provider network,Medium,May be coordinated through Combined Authority
Cumbria Work Based Learning Provider Forum,North West,Work-based learning forum,Low,May be informal provider group
D2N2 Provider Network,East Midlands,Regional provider network,High,Derby Derbyshire Nottingham Nottinghamshire LEP area
Devon and Cornwall Training Provider Network,South West,Regional provider network,Medium,Large rural area covering two counties
Dorset and Somerset Training Provider Network,South West,Regional provider network,Medium,Two-county network
Heart of the South West Colleges Partnership,South West,Regional college partnership,Medium,See access issues list - URL found but access blocked
Herefordshire and Worcestershire Training Provider Association,West Midlands,Regional training provider association,Medium,Two-county area
Humber Learning Consortium,Yorkshire and the Humber,Regional provider network,High,Covers Humber region
Lancashire Work Based Learning Executive Forum,North West,Work-based learning forum,Low,May be informal executive-level group
Leicester and Leicestershire Provider Network,East Midlands,Regional provider network,Medium,May be part of LLEP (Leicester & Leicestershire Enterprise Partnership)
Lincolnshire Provider Network,East Midlands,Regional provider network,Medium,May be coordinated through Greater Lincolnshire LEP
Local London Skills Providers Network,London,London sub-regional network,Medium,May be coordinated through London Councils
Marches Provider Network,West Midlands,Regional provider network,Medium,Marches = Herefordshire Shropshire Telford & Wrekin LEP area
Norfolk Learning and Skills Provider Network,East of England,Regional provider network,Medium,May be part of New Anglia LEP
North Yorkshire Provider Network,Yorkshire and the Humber,Regional provider network,Medium,Large rural area network
Northern Skills Network,North East,Skills network,Medium,Possibly multi-county northern region network
Northumberland Learning Providers Network,North East,Regional provider network,Medium,County-level network
Oxfordshire Provider Network,South East,Regional provider network,Medium,County-level network
Solent Training Provider Network,South East,Regional provider network,Medium,Solent LEP area (Hampshire Isle of Wight Portsmouth Southampton)
Somerset Education Business Partnership,South West,Education business partnership,Low,Traditional EBP model organization
South Yorkshire Providers Network,Yorkshire and the Humber,Regional provider network,High,May be coordinated through South Yorkshire Mayoral Combined Authority
Staffordshire and Stoke-on-Trent Provider Network,West Midlands,Regional provider network,Medium,May be part of Stoke and Staffordshire LEP
Suffolk Provider Network,East of England,Regional provider network,Medium,May be part of New Anglia LEP
Swindon and Wiltshire Provider Network,South West,Regional provider network,Medium,May be coordinated through Swindon & Wiltshire LEP
Thames Valley Berkshire Provider Network,South East,Regional provider network,Medium,May be coordinated through Thames Valley Berkshire LEP
West London Alliance Skills & Employment,London,London sub-regional partnership,Medium,See access issues list - URL found but access blocked
West Midlands 5G Skills Network,West Midlands,Specialist skills network,Low,Technology-focused network may be part of 5G testbed initiatives
