Provider Name,UKPRN,Training Options,Employer Reviews,Apprentice Reviews,Achievement Rate,Detail URL
HARTLEPOOL COLLEGE OF FURTHER EDUCATION,10002917,Day release,Good (1 employer review),Good (19 apprentice reviews),100% (out of 10 apprentices),https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10002917?distance=10
WIGAN AND LEIGH COLLEGE,10007500,At apprentice's workplace,Good (3 employer reviews),Good (26 apprentice reviews),100% (out of 10 apprentices),https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10007500?distance=10
EAST SUSSEX COUNTY COUNCIL,10002131,At apprentice's workplace,No reviews,No reviews,100% (out of 10 apprentices),https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10002131?distance=10
DERWENTSIDE COLLEGE,10001934,At apprentice's workplace,Excellent (5 employer reviews),Good (47 apprentice reviews),93.8% (out of 20 apprentices),https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10001934?distance=10
PMA LTD,10061640,At apprentice's workplace,No reviews,Good (12 apprentice reviews),92.9% (out of 10 apprentices),https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10061640?distance=10
THE EDUCATION TRAINING COLLECTIVE,10006341,At apprentice's workplace; Day release,Excellent (1 employer review),Good (18 apprentice reviews),90% (out of 10 apprentices),https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10006341?distance=10
UNIVERSITY OF EXETER,10007792,At apprentice's workplace; Block release,Excellent (4 employer reviews),Good (81 apprentice reviews),89.7% (out of 30 apprentices),https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10007792?distance=10
ADALTA DEVELOPMENT LTD,10043865,At apprentice's workplace,No reviews,No reviews,87.5% (out of 20 apprentices),https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10043865?distance=10
BLACKPOOL AND THE FYLDE COLLEGE,10000754,At apprentice's workplace; Day release; Block release,Excellent (2 employer reviews),Good (35 apprentice reviews),85.7% (out of 40 apprentices),https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10000754?distance=10
BAUER RADIO LIMITED,10002230,At apprentice's workplace; Day release; Block release; Block release (multiple locations); Day release (multiple locations),Excellent (3 employer reviews),Good (16 apprentice reviews),85.7% (out of 10 apprentices),https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10002230?distance=10
BPIF TRAINING LIMITED,10034212,At apprentice's workplace; Day release; Block release,Excellent (1 employer review),Good (11 apprentice reviews),85.7% (out of 10 apprentices),https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10034212?distance=10
RNN GROUP,10005534,At apprentice's workplace,Excellent (1 employer review),No reviews,85.7% (out of 10 apprentices),https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10005534?distance=10
CALDERDALE COLLEGE,10001093,Day release,Good (3 employer reviews),Good (7 apprentice reviews),85% (out of 20 apprentices),https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10001093?distance=10
HAVANT AND SOUTH DOWNS COLLEGE,10005979,At apprentice's workplace; Day release,Excellent (2 employer reviews),Good (7 apprentice reviews),84.6% (out of 10 apprentices),https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10005979?distance=10
Learn Plus Us,10028965,At apprentice's workplace,Good (1 employer review),Good (8 apprentice reviews),84.6% (out of 10 apprentices),https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/104/providers/10028965?distance=10
